iter	MultiClass
0	1.492539427
1	1.412385646
2	1.343627774
3	1.281239692
4	1.228047409
5	1.178545104
6	1.141385806
7	1.100837336
8	1.065719244
9	1.041178406
10	1.011273342
11	0.9871050707
12	0.9607717307
13	0.9461485736
14	0.9273999829
15	0.9099439636
16	0.8982521952
17	0.8846818344
18	0.8738772069
19	0.8612182763
20	0.8500093185
21	0.8395035771
22	0.8309411167
23	0.8206840378
24	0.8100679916
25	0.8016885831
26	0.7962057387
27	0.7879154582
28	0.7797404082
29	0.7717867553
30	0.764575068
31	0.7590738765
32	0.753321043
33	0.7476399721
34	0.7414455334
35	0.7358982349
36	0.7303591947
37	0.7259396328
38	0.721964131
39	0.7179624439
40	0.7152837378
41	0.7114653423
42	0.7075594744
43	0.702774086
44	0.6980571469
45	0.69429117
46	0.690809534
47	0.6891585046
48	0.6852028217
49	0.6817302385
50	0.6785910005
51	0.6753715684
52	0.6721565702
53	0.668668379
54	0.6653798104
55	0.6626186346
56	0.6604784115
57	0.658458901
58	0.656373695
59	0.6546981343
60	0.6527951872
61	0.6492892995
62	0.6471883432
63	0.6453312529
64	0.6433304903
65	0.6405164922
66	0.6379617237
67	0.6358377086
68	0.633986064
69	0.6316103635
70	0.6291129679
71	0.6284040103
72	0.6247071523
73	0.6226737997
74	0.6213344097
75	0.6179948581
76	0.6148572558
77	0.6121423913
78	0.6093092744
79	0.6076251914
80	0.6061105567
81	0.604294206
82	0.6022344151
83	0.6007013411
84	0.5983018554
85	0.5953384065
86	0.5931418992
87	0.5910935165
88	0.5893330275
89	0.5866247795
90	0.5839147763
91	0.580825073
92	0.5790286266
93	0.5769550883
94	0.5752508671
95	0.5737578593
96	0.5723037863
97	0.5703634214
98	0.5692702811
99	0.567833092
100	0.565531277
101	0.5646017394
102	0.5624512679
103	0.5612804615
104	0.5599706478
105	0.5577555317
106	0.5558234923
107	0.5537215355
108	0.5519099589
109	0.5500558082
110	0.5483780047
111	0.5462707854
112	0.5448546744
113	0.5432239185
114	0.5416537627
115	0.5400759994
116	0.5387351281
117	0.5376531199
118	0.5363602666
119	0.535319102
120	0.533390967
121	0.531801098
122	0.5303911231
123	0.5288794822
124	0.5272756606
125	0.5261472529
126	0.5249060413
127	0.5234602453
128	0.5221977924
129	0.5209976597
130	0.5199666496
131	0.5188476141
132	0.5173842058
133	0.5159146135
134	0.5147518214
135	0.5142398069
136	0.5128244433
137	0.5116356692
138	0.5104223479
139	0.5090695995
140	0.5081305424
141	0.5063559578
142	0.5049881189
143	0.5037018061
144	0.5021851469
145	0.5009807106
146	0.4997624569
147	0.4983300593
148	0.496809765
149	0.4956230762
150	0.4942020438
151	0.4931025738
152	0.4918338106
153	0.4910296017
154	0.489456
155	0.4884761007
156	0.4870733314
157	0.4855435944
158	0.4841248121
159	0.4825341273
160	0.4817515132
161	0.4809280221
162	0.4797272771
163	0.4782637065
164	0.4764604076
165	0.4757813775
166	0.4743423886
167	0.4731171431
168	0.4710401509
169	0.469826425
170	0.46871792
171	0.4676652249
172	0.4669980704
173	0.465545575
174	0.4644502223
175	0.4633326029
176	0.4615224693
177	0.460265205
178	0.4590622528
179	0.457981286
180	0.4570098718
181	0.4559729836
182	0.4546765106
183	0.4539303188
184	0.453372061
185	0.4525659063
186	0.451799883
187	0.4507784343
188	0.4498541896
189	0.4487475786
190	0.4481081766
191	0.4470624601
192	0.4462628942
193	0.4446629092
194	0.4435596015
195	0.4429499514
196	0.441833669
197	0.4407275011
198	0.4401260629
199	0.4393951559
200	0.4385563306
201	0.43771782
202	0.4370914449
203	0.4362051202
204	0.4352771806
205	0.4343249256
206	0.433501632
207	0.4326590636
208	0.4314458022
209	0.4306481623
210	0.4294196934
211	0.4287100113
212	0.4277088422
213	0.4272260669
214	0.4259832178
215	0.4253045034
216	0.4237673862
217	0.4233119896
218	0.422299572
219	0.4216182908
220	0.4212421256
221	0.4206482449
222	0.4197941749
223	0.4185005026
224	0.4176897502
225	0.4163627255
226	0.4152419654
227	0.4143573966
228	0.413418111
229	0.4129299676
230	0.412349611
231	0.4114843888
232	0.4109475981
233	0.410097908
234	0.409434717
235	0.4082176546
236	0.4071336512
237	0.4064112223
238	0.4057555367
239	0.4047305053
240	0.4037758323
241	0.4029956424
242	0.4018411307
243	0.4010623581
244	0.400358101
245	0.3991046916
246	0.3981576799
247	0.3971651901
248	0.396058048
249	0.3949556252
250	0.393752679
251	0.3931306026
252	0.3923121566
253	0.3913780661
254	0.3904690601
255	0.3894852296
256	0.3885472971
257	0.3879777826
258	0.3875366085
259	0.3868498742
260	0.385585222
261	0.3849339647
262	0.3842341024
263	0.3832595442
264	0.3823601475
265	0.3817527718
266	0.3809784188
267	0.3799264829
268	0.3790946453
269	0.3780959672
270	0.3773526457
271	0.3769646601
272	0.3761986174
273	0.3757539045
274	0.3748815204
275	0.3743235042
276	0.3741138029
277	0.3735202108
278	0.3724206939
279	0.3719958414
280	0.3710917435
281	0.3707387595
282	0.3699835274
283	0.3690859597
284	0.3682703231
285	0.3678277652
286	0.3672171412
287	0.3667028259
288	0.3662525859
289	0.3655510506
290	0.3647495354
291	0.3636972315
292	0.3630295928
293	0.3620994371
294	0.3612619075
295	0.3603062525
296	0.3595893383
297	0.3586605365
298	0.3576794845
299	0.3568139447
300	0.355673457
301	0.3548837804
302	0.3535885085
303	0.3528980728
304	0.3521028307
305	0.3512020669
306	0.3505283538
307	0.3498514807
308	0.3487624547
309	0.3479474817
310	0.3467550779
311	0.3462862683
312	0.3455400058
313	0.3447613758
314	0.3440309855
315	0.3435976129
316	0.3430878566
317	0.3423219026
318	0.3417961707
319	0.3412460162
320	0.3406601767
321	0.3396802489
322	0.339336862
323	0.3385586711
324	0.3379661117
325	0.3377223817
326	0.3369629386
327	0.336046252
328	0.3352128999
329	0.3347737096
330	0.3342129084
331	0.333509767
332	0.3327313104
333	0.3320496293
334	0.3316741786
335	0.3308966591
336	0.3303275512
337	0.3298563216
338	0.3293419286
339	0.3286820941
340	0.328421566
341	0.3277569704
342	0.3267224376
343	0.3263342216
344	0.3255095125
345	0.3251074928
346	0.324628208
347	0.323716723
348	0.3230511965
349	0.3223467707
350	0.3217995388
351	0.3208642383
352	0.3202457037
353	0.3200040645
354	0.3189700229
355	0.3186667351
356	0.3179332181
