iter	Passed	Remaining
0	61	61833
1	63	31493
2	64	21346
3	65	16268
4	66	13243
5	67	11218
6	68	9767
7	70	8685
8	71	7846
9	72	7169
10	73	6615
11	74	6152
12	75	5762
13	77	5428
14	78	5140
15	79	4892
16	80	4667
17	81	4440
18	82	4262
19	83	4107
20	85	3968
21	86	3835
22	87	3714
23	88	3606
24	89	3505
25	91	3410
26	92	3326
27	93	3244
28	94	3167
29	95	3096
30	96	3030
31	98	2968
32	99	2911
33	100	2856
34	101	2807
35	103	2759
36	104	2710
37	105	2666
38	106	2625
39	107	2585
40	108	2549
41	110	2512
42	111	2478
43	112	2444
44	113	2413
45	114	2383
46	116	2354
47	117	2327
48	118	2299
49	119	2273
50	120	2248
51	122	2224
52	123	2201
53	124	2179
54	125	2159
55	126	2138
56	128	2118
57	129	2098
58	130	2079
59	131	2062
60	132	2045
61	134	2028
62	135	2012
63	136	2002
64	138	1996
65	140	1990
66	142	1987
67	144	1977
68	145	1966
69	147	1956
70	148	1942
71	149	1926
72	151	1919
73	152	1907
74	153	1897
75	155	1887
76	157	1884
77	158	1873
78	159	1864
79	161	1857
80	162	1848
81	164	1837
82	165	1829
83	167	1822
84	168	1817
85	170	1810
86	171	1801
87	172	1792
88	175	1791
89	179	1812
90	181	1815
91	184	1819
92	186	1817
93	188	1814
94	189	1809
95	191	1803
96	193	1800
97	195	1795
98	197	1797
99	199	1793
100	201	1791
101	203	1788
102	205	1785
103	206	1778
104	207	1770
105	208	1762
106	210	1754
107	211	1746
108	212	1738
109	214	1732
110	215	1727
111	217	1721
112	218	1714
113	219	1706
114	220	1698
115	222	1692
116	223	1685
117	224	1677
118	225	1670
119	226	1663
120	228	1657
121	229	1650
122	230	1644
123	231	1637
124	233	1631
125	234	1624
126	235	1618
127	236	1612
128	237	1606
129	239	1601
130	240	1594
131	241	1589
132	242	1583
133	244	1577
134	245	1571
135	246	1566
136	247	1560
137	248	1555
138	250	1549
139	251	1544
140	252	1539
141	253	1534
142	255	1528
143	256	1524
144	257	1519
145	258	1514
146	259	1508
147	261	1503
148	262	1498
149	263	1493
150	264	1488
151	265	1483
152	267	1479
153	268	1474
154	269	1470
155	270	1465
156	272	1461
157	273	1456
158	274	1452
159	275	1448
160	277	1443
161	278	1439
162	279	1434
163	280	1430
164	281	1426
165	283	1422
166	284	1418
167	285	1414
168	286	1409
169	287	1405
170	289	1401
171	290	1397
172	291	1393
173	292	1389
174	293	1385
175	295	1382
176	296	1379
177	297	1375
178	299	1371
179	300	1367
180	301	1363
181	302	1360
182	303	1356
183	305	1352
184	306	1349
185	307	1345
186	308	1341
187	309	1338
188	311	1334
189	312	1331
190	313	1328
191	314	1324
192	315	1321
193	317	1317
194	318	1314
195	319	1310
196	320	1307
197	321	1304
198	323	1301
199	324	1297
200	325	1294
201	326	1290
202	328	1288
203	329	1284
204	330	1281
205	331	1278
206	332	1274
207	333	1271
208	335	1268
209	336	1265
210	337	1262
211	338	1259
212	339	1256
213	341	1252
214	342	1250
215	343	1247
216	344	1244
217	346	1241
218	347	1238
219	348	1235
220	349	1232
221	350	1229
222	352	1227
223	353	1224
224	354	1221
225	355	1218
226	356	1215
227	358	1212
228	359	1209
229	360	1206
230	361	1204
231	362	1201
232	364	1198
233	365	1196
234	366	1193
235	367	1190
236	369	1188
237	370	1185
238	371	1182
239	372	1180
240	373	1177
241	375	1175
242	376	1173
243	377	1170
244	379	1168
245	380	1165
246	381	1162
247	382	1160
248	383	1157
249	385	1155
250	386	1153
251	387	1150
252	388	1148
253	390	1145
254	391	1143
255	392	1140
256	393	1138
257	395	1136
258	396	1133
259	397	1131
260	398	1128
261	399	1126
262	401	1124
263	402	1121
264	403	1119
265	404	1116
266	405	1114
267	407	1112
268	408	1109
269	409	1107
270	411	1105
271	412	1103
272	413	1101
273	414	1099
274	416	1096
275	417	1094
276	418	1092
277	419	1089
278	420	1087
279	422	1085
280	423	1083
281	424	1081
282	425	1079
283	427	1077
284	428	1074
285	429	1072
286	430	1070
287	431	1067
288	433	1065
289	434	1063
290	435	1061
291	437	1059
292	438	1057
293	439	1055
294	440	1053
295	441	1051
296	443	1049
297	444	1046
298	445	1044
299	446	1042
300	448	1040
301	449	1038
302	450	1036
303	451	1034
304	452	1032
305	454	1029
306	455	1027
307	456	1025
308	457	1023
309	459	1022
310	460	1020
311	461	1017
312	462	1015
313	463	1013
314	465	1011
315	466	1009
316	467	1007
317	468	1004
318	469	1003
319	471	1001
320	472	998
321	473	996
322	474	995
323	475	993
324	477	991
325	478	988
326	479	986
327	480	985
328	482	983
329	483	980
330	484	978
331	485	976
332	486	974
333	487	972
334	489	971
335	490	969
336	491	967
337	492	965
338	494	963
339	495	961
340	496	959
341	498	959
342	500	957
343	501	956
344	503	955
345	505	956
346	507	954
347	508	953
348	509	951
349	511	949
350	512	947
351	513	945
352	515	944
353	516	942
354	517	940
355	518	938
356	520	937
357	522	936
358	523	934
359	524	933
360	526	931
361	527	929
362	528	928
363	530	926
364	531	924
365	532	922
366	533	920
367	535	919
368	536	917
369	537	915
370	538	913
371	540	911
372	541	910
373	542	908
374	543	906
375	544	904
376	546	902
377	547	900
378	548	898
379	549	896
380	550	894
381	552	893
382	553	891
383	554	889
384	555	887
385	557	886
386	558	884
387	559	882
388	560	880
389	561	878
390	562	876
391	564	875
392	565	873
393	566	871
394	567	869
395	568	867
396	570	866
397	571	864
398	572	862
399	573	860
400	574	858
401	576	857
402	577	855
403	578	853
404	579	851
405	581	850
406	582	848
407	583	846
408	584	845
409	586	843
410	587	841
411	588	839
412	589	838
413	590	836
414	592	834
415	593	833
416	594	831
417	595	829
418	597	827
419	598	826
420	599	824
421	600	822
422	601	820
423	602	818
424	604	817
425	605	815
426	606	813
427	607	812
428	608	810
429	610	808
430	611	807
431	612	805
432	613	803
433	614	801
434	616	800
435	617	798
436	618	796
437	619	795
438	621	793
439	622	792
440	623	790
441	625	789
442	626	787
443	627	785
444	628	784
445	630	782
446	631	780
447	632	779
448	633	777
449	635	776
450	636	774
451	637	773
452	638	771
453	639	769
454	641	768
455	642	766
456	643	764
457	644	763
458	646	761
459	647	759
460	648	758
461	649	756
462	651	755
463	652	753
464	653	751
465	654	750
466	655	748
467	657	746
468	658	745
469	659	743
470	660	742
471	661	740
472	663	738
473	664	737
474	665	735
475	666	734
476	668	732
477	669	730
478	670	729
479	671	727
480	673	726
481	674	724
482	675	723
483	676	721
484	677	719
485	679	718
486	680	716
487	681	714
488	682	713
489	684	711
490	685	710
491	686	708
492	687	707
493	688	705
494	690	704
495	691	702
496	692	700
497	693	699
498	694	697
499	696	696
500	697	694
501	698	693
502	699	691
503	700	689
504	702	688
505	703	686
506	704	684
507	705	683
508	706	681
509	707	680
510	709	678
511	710	677
512	711	675
513	712	673
514	714	672
515	715	670
516	716	669
517	717	667
518	718	666
519	720	664
520	721	663
521	722	661
522	723	660
523	724	658
524	726	657
525	727	655
526	728	653
527	729	652
528	730	650
529	732	649
530	733	647
531	734	646
532	736	644
533	737	643
534	738	641
535	739	640
536	740	638
537	742	637
538	743	635
539	744	634
540	745	632
541	746	631
542	748	629
543	749	628
544	750	626
545	751	625
546	752	623
547	754	622
548	755	620
549	756	619
550	757	617
551	759	616
552	760	614
553	761	613
554	762	611
555	763	609
556	764	608
557	766	606
558	767	605
559	769	604
560	770	602
561	771	601
562	772	599
563	774	598
564	775	596
565	776	595
566	777	594
567	779	592
568	780	591
569	781	589
570	782	588
571	784	586
572	785	585
573	786	583
574	788	582
575	789	581
576	790	579
577	791	578
578	793	576
579	794	575
580	795	573
581	797	572
582	798	571
583	799	569
584	800	568
585	802	566
586	803	565
587	804	563
588	805	562
589	807	560
590	808	559
591	809	557
592	810	556
593	811	554
594	813	553
595	814	551
596	815	550
597	816	548
598	817	547
599	818	545
600	820	544
601	821	543
602	822	541
603	823	540
604	825	538
605	826	537
606	827	535
607	828	534
608	829	532
609	831	531
610	832	529
611	833	528
612	834	526
613	835	525
614	837	524
615	838	522
616	839	521
617	840	519
618	842	518
619	843	517
620	844	515
621	845	514
622	847	512
623	848	511
624	849	509
625	850	508
626	852	506
627	853	505
628	854	504
629	855	502
630	857	501
631	858	499
632	859	498
633	860	497
634	862	495
635	863	494
636	864	492
637	865	491
638	867	489
639	868	488
640	869	486
641	870	485
642	872	484
643	873	482
644	874	481
645	875	479
646	876	478
647	878	476
648	879	475
649	880	474
650	881	472
651	882	471
652	884	469
653	885	468
654	886	466
655	887	465
656	889	464
657	890	462
658	891	461
659	892	459
660	893	458
661	894	456
662	896	455
663	897	454
664	898	452
665	899	451
666	900	449
667	902	448
668	903	446
669	904	445
670	905	444
671	906	442
672	908	441
673	909	439
674	910	438
675	911	436
676	912	435
677	913	434
678	915	432
679	916	431
680	917	429
681	918	428
682	919	426
683	921	425
684	922	424
685	923	422
686	924	421
687	925	419
688	926	418
689	928	417
690	929	415
691	930	414
692	931	412
693	933	411
